publication,date,headline,ideology_score,ideology_confidence,sentiment_score,sentiment_confidence,emotionality,topic_area,ideology_baseline,ideology_numeric,ideology_baseline_confidence,sentiment_pos,sentiment_neg,sentiment_neu,year,month,quarter
CNN,2015-03-09,Economy Shows Signs of Recovery Amid Pandemic,left,0.5108838616022704,0.0,0.0,0.0,economy,left,-1.0,0.5108838616022704,0.0,0.0,1.0,2015,2015-03,2015Q1
Fox News,2015-03-10,Biden's Border Crisis Reaches New Heights,right,0.46238265481478436,-0.5994,0.5994,0.5994,politics,right,1.0,0.46238265481478436,0.129,0.441,0.43,2015,2015-03,2015Q1
New York Times,2015-03-10,Rural America Faces a Growing Healthcare Desert - Report,center,0.42667593539012283,0.1779,0.1779,0.1779,healthcare,center,0.0,0.42667593539012283,0.175,0.0,0.825,2015,2015-03,2015Q1
CNN,2015-03-10,Trump Administration Faces Backlash Over Immigration Policy,center,0.4040762350890018,0.0,0.0,0.0,politics,center,0.0,0.4040762350890018,0.0,0.0,1.0,2015,2015-03,2015Q1
New York Times,2015-03-11,A Reckoning on Race Forces America to Confront Its Past Amid Growing Concerns,left,0.5518871919149674,0.0,0.0,0.0,social_issues,left,-1.0,0.5518871919149674,0.118,0.118,0.764,2015,2015-03,2015Q1
Fox News,2015-03-11,Americans Fed Up With Rising Gas Prices Under Biden,left,0.382546840360466,0.0,0.0,0.0,politics,left,-1.0,0.382546840360466,0.0,0.0,1.0,2015,2015-03,2015Q1
New York Times,2015-03-11,The Rise of Political Violence Threatens Democratic Norms,left,0.5488572403751986,-0.7717,0.7717,0.7717,politics,left,-1.0,0.5488572403751986,0.0,0.528,0.472,2015,2015-03,2015Q1
Washington Post,2015-03-11,Wealth Gap Between Richest and Poorest Americans Hits Record,left,0.5207362933528115,0.4767,0.4767,0.4767,other,left,-1.0,0.5207362933528115,0.41,0.217,0.373,2015,2015-03,2015Q1
CNN,2015-03-11,Experts Warn of Growing Inequality in America,left,0.7947751766848793,0.0772,0.0772,0.0772,foreign_policy,left,-1.0,0.7947751766848793,0.21,0.173,0.617,2015,2015-03,2015Q1
CNN,2015-03-11,Trump Administration Faces Backlash Over Immigration Policy,center,0.4040762350890018,0.0,0.0,0.0,politics,center,0.0,0.4040762350890018,0.0,0.0,1.0,2015,2015-03,2015Q1
CNN,2015-03-11,Breaking: Climate Change Report Warns of Dire Consequences - Report,right,0.3790803024862527,-0.5267,0.5267,0.5267,climate,right,1.0,0.3790803024862527,0.0,0.355,0.645,2015,2015-03,2015Q1
Fox News,2015-03-11,Illegal Immigration Costs Taxpayers Billions,right,0.655824989803309,-0.5574,0.5574,0.5574,economy,right,1.0,0.655824989803309,0.0,0.474,0.526,2015,2015-03,2015Q1
Washington Post,2015-03-11,The Quiet Crisis: How Climate Change Is Reshaping American Cities in Latest Development,left,0.43480868798342065,-0.6249,0.6249,0.6249,climate,left,-1.0,0.43480868798342065,0.0,0.255,0.745,2015,2015-03,2015Q1
CNN,2015-03-11,Democrats Push for Expanded Social Safety Net,left,0.49477586973596693,0.4215,0.4215,0.4215,politics,left,-1.0,0.49477586973596693,0.318,0.0,0.682,2015,2015-03,2015Q1
New York Times,2015-03-11,Tech Giants Wield Unprecedented Power Over Public Discourse (Updated),right,0.49430322150721884,0.0,0.0,0.0,technology,right,1.0,0.49430322150721884,0.0,0.0,1.0,2015,2015-03,2015Q1
CNN,2015-03-12,January 6 Committee Releases Damning Findings Amid Growing Concerns,right,0.5310941606810594,-0.1779,0.1779,0.1779,other,right,1.0,0.5310941606810594,0.153,0.216,0.631,2015,2015-03,2015Q1
Washington Post,2015-03-12,The Filibuster Debate: What's Really at Stake as Tensions Rise,left,0.6214883798797453,-0.4019,0.4019,0.4019,other,left,-1.0,0.6214883798797453,0.0,0.231,0.769,2015,2015-03,2015Q1
Washington Post,2015-03-12,Investigation: Corporate Lobbying Undermines Environmental Rules Amid Growing Concerns,left,0.5352934806227044,-0.25,0.25,0.25,climate,left,-1.0,0.5352934806227044,0.149,0.325,0.526,2015,2015-03,2015Q1
CNN,2015-03-12,Tech Giants Face Antitrust Scrutiny,center,0.5249018058071586,0.0,0.0,0.0,technology,center,0.0,0.5249018058071586,0.0,0.0,1.0,2015,2015-03,2015Q1
New York Times,2015-03-12,The Struggle for Affordable Housing in America's Cities Sources Say,left,0.678164469846657,-0.3182,0.3182,0.3182,other,left,-1.0,0.678164469846657,0.0,0.204,0.796,2015,2015-03,2015Q1
CNN,2015-03-12,Healthcare Reform Battle Heats Up in Congress | Opinion,left,0.5973241510460048,-0.3818,0.3818,0.3818,politics,left,-1.0,0.5973241510460048,0.0,0.245,0.755,2015,2015-03,2015Q1
CNN,2015-03-12,Biden Administration Announces New Climate Targets - Report,left,0.43582206158940956,0.0,0.0,0.0,politics,left,-1.0,0.43582206158940956,0.0,0.0,1.0,2015,2015-03,2015Q1
Fox News,2015-03-12,Illegal Immigration Costs Taxpayers Billions as Tensions Rise,right,0.5044210462366793,-0.743,0.743,0.743,economy,right,1.0,0.5044210462366793,0.0,0.512,0.488,2015,2015-03,2015Q1
Washington Post,2015-03-13,Pentagon Papers for a New Era: Government Secrecy Examined,left,0.5116993562128639,0.0,0.0,0.0,other,left,-1.0,0.5116993562128639,0.0,0.0,1.0,2015,2015-03,2015Q1
Washington Post,2015-03-13,Education Gaps Widen as Pandemic Disrupts Learning,left,0.4627316734990118,0.0,0.0,0.0,healthcare,left,-1.0,0.4627316734990118,0.0,0.0,1.0,2015,2015-03,2015Q1
Washington Post,2015-03-13,Voting Rights Act Protections Weakened by Court Rulings in Latest Development,left,0.4308320878617029,-0.3182,0.3182,0.3182,social_issues,left,-1.0,0.4308320878617029,0.0,0.187,0.813,2015,2015-03,2015Q1
New York Times,2015-03-13,Immigration Reform Remains Elusive Despite Bipartisan Support Sources Say,left,0.7657601022442452,-0.3089,0.3089,0.3089,politics,left,-1.0,0.7657601022442452,0.0,0.22,0.78,2015,2015-03,2015Q1
Fox News,2015-03-13,Law Enforcement Officers Demoralized by Defund Movement - Report,right,0.5636325687946578,-0.3818,0.3818,0.3818,foreign_policy,right,1.0,0.5636325687946578,0.0,0.245,0.755,2015,2015-03,2015Q1
Fox News,2015-03-14,Big Tech Censorship of Conservative Voices Continues Amid Growing Concerns,right,0.474444309521021,0.1779,0.1779,0.1779,technology,right,1.0,0.474444309521021,0.159,0.0,0.841,2015,2015-03,2015Q1
New York Times,2015-03-14,A Reckoning on Race Forces America to Confront Its Past,left,0.5775712223953463,-0.1779,0.1779,0.1779,social_issues,left,-1.0,0.5775712223953463,0.0,0.159,0.841,2015,2015-03,2015Q1
Washington Post,2015-03-14,Pentagon Papers for a New Era: Government Secrecy Examined Amid Growing Concerns,left,0.50775765218357,0.1779,0.1779,0.1779,other,left,-1.0,0.50775765218357,0.134,0.0,0.866,2015,2015-03,2015Q1
Washington Post,2015-03-14,Voting Rights Act Protections Weakened by Court Rulings,left,0.45835863666958154,-0.3182,0.3182,0.3182,social_issues,left,-1.0,0.45835863666958154,0.0,0.247,0.753,2015,2015-03,2015Q1
New York Times,2015-03-14,How Social Media Algorithms Fuel Political Polarization - Report,right,0.6106217044360956,0.0,0.0,0.0,politics,right,1.0,0.6106217044360956,0.0,0.0,1.0,2015,2015-03,2015Q1
CNN,2015-03-14,Biden Administration Announces New Climate Targets in Latest Development,left,0.4760880004453062,0.0,0.0,0.0,politics,left,-1.0,0.4760880004453062,0.0,0.0,1.0,2015,2015-03,2015Q1
Fox News,2015-03-15,Cancel Culture Claims Another Victim Amid Growing Concerns,right,0.5452498365656981,-0.34,0.34,0.34,technology,right,1.0,0.5452498365656981,0.157,0.38,0.463,2015,2015-03,2015Q1
Washington Post,2015-03-15,Education Gaps Widen as Pandemic Disrupts Learning,left,0.4627316734990118,0.0,0.0,0.0,healthcare,left,-1.0,0.4627316734990118,0.0,0.0,1.0,2015,2015-03,2015Q1
New York Times,2015-03-15,Investigating the Roots of the January 6 Capitol Breach Sources Say,left,0.632565455048007,0.0,0.0,0.0,other,left,-1.0,0.632565455048007,0.0,0.0,1.0,2015,2015-03,2015Q1
New York Times,2015-03-15,A Reckoning on Race Forces America to Confront Its Past Amid Growing Concerns,left,0.5518871919149674,0.0,0.0,0.0,social_issues,left,-1.0,0.5518871919149674,0.118,0.118,0.764,2015,2015-03,2015Q1
Fox News,2015-03-15,Big Tech Censorship of Conservative Voices Continues (Updated),right,0.503242762276803,0.0,0.0,0.0,technology,right,1.0,0.503242762276803,0.0,0.0,1.0,2015,2015-03,2015Q1
Fox News,2015-03-15,Trump Rally Draws Massive Crowds Across Nation as Tensions Rise,left,0.4944662798371961,-0.4019,0.4019,0.4019,politics,left,-1.0,0.4944662798371961,0.0,0.231,0.769,2015,2015-03,2015Q1
CNN,2015-03-16,January 6 Committee Releases Damning Findings | Opinion,right,0.5780360352850813,-0.34,0.34,0.34,other,right,1.0,0.5780360352850813,0.0,0.255,0.745,2015,2015-03,2015Q1
CNN,2015-03-16,Tech Giants Face Antitrust Scrutiny (Updated),center,0.4118168651542178,0.0,0.0,0.0,technology,center,0.0,0.4118168651542178,0.0,0.0,1.0,2015,2015-03,2015Q1
CNN,2015-03-16,Racial Justice Protests Sweep the Nation (Updated),left,0.49983052838879494,0.3612,0.3612,0.3612,social_issues,left,-1.0,0.49983052838879494,0.33,0.184,0.485,2015,2015-03,2015Q1
New York Times,2015-03-16,The Pandemic Changed How Americans Work. There's No Going Back. Sources Say,left,0.8849833625386705,-0.296,0.296,0.296,healthcare,left,-1.0,0.8849833625386705,0.0,0.167,0.833,2015,2015-03,2015Q1
Washington Post,2015-03-16,Inside the Battle for the Future of the Republican Party Sources Say,left,0.8498331950350809,0.0258,0.0258,0.0258,politics,left,-1.0,0.8498331950350809,0.176,0.17,0.654,2015,2015-03,2015Q1
CNN,2015-03-16,Democrats Push for Expanded Social Safety Net,left,0.49477586973596693,0.4215,0.4215,0.4215,politics,left,-1.0,0.49477586973596693,0.318,0.0,0.682,2015,2015-03,2015Q1
Washington Post,2015-03-17,Analysis: Democracy Faces Its Greatest Test in Decades - Report,left,0.4801159133481898,0.6369,0.6369,0.6369,other,left,-1.0,0.4801159133481898,0.318,0.0,0.682,2015,2015-03,2015Q1
CNN,2015-03-17,Racial Justice Protests Sweep the Nation as Tensions Rise,left,0.5579451916146202,-0.0516,0.0516,0.0516,social_issues,left,-1.0,0.5579451916146202,0.243,0.329,0.429,2015,2015-03,2015Q1
CNN,2015-03-17,Deadly Shooting Highlights Gun Control Debate,left,0.6042892786916233,-0.34,0.34,0.34,crime,left,-1.0,0.6042892786916233,0.0,0.324,0.676,2015,2015-03,2015Q1
Fox News,2015-03-17,Americans Fed Up With Rising Gas Prices Under Biden,left,0.382546840360466,0.0,0.0,0.0,politics,left,-1.0,0.382546840360466,0.0,0.0,1.0,2015,2015-03,2015Q1
Fox News,2015-03-17,Trump Rally Draws Massive Crowds Across Nation | Opinion,right,0.5182795445184968,0.0,0.0,0.0,politics,right,1.0,0.5182795445184968,0.0,0.0,1.0,2015,2015-03,2015Q1
New York Times,2015-03-17,The Rise of Political Violence Threatens Democratic Norms,left,0.5488572403751986,-0.7717,0.7717,0.7717,politics,left,-1.0,0.5488572403751986,0.0,0.528,0.472,2015,2015-03,2015Q1
New York Times,2015-03-17,Rural America Faces a Growing Healthcare Desert as Tensions Rise,left,0.46418281368318487,-0.25,0.25,0.25,healthcare,left,-1.0,0.46418281368318487,0.137,0.218,0.645,2015,2015-03,2015Q1
Washington Post,2015-03-19,The Filibuster Debate: What's Really at Stake | Opinion,left,0.5929503201876127,0.0,0.0,0.0,other,left,-1.0,0.5929503201876127,0.0,0.0,1.0,2015,2015-03,2015Q1
Washington Post,2015-03-19,Wealth Gap Between Richest and Poorest Americans Hits Record (Updated),left,0.505333011774407,0.4767,0.4767,0.4767,other,left,-1.0,0.505333011774407,0.386,0.205,0.409,2015,2015-03,2015Q1
Washington Post,2015-03-19,Inside the Battle for the Future of the Republican Party - Report,left,0.5675752570359321,0.0258,0.0258,0.0258,politics,left,-1.0,0.5675752570359321,0.176,0.17,0.654,2015,2015-03,2015Q1
Washington Post,2015-03-19,Tech Regulation Stalls as Industry Influence Grows - Report,right,0.46491943525864465,0.0,0.0,0.0,technology,right,1.0,0.46491943525864465,0.0,0.0,1.0,2015,2015-03,2015Q1
Fox News,2015-03-20,Trump Rally Draws Massive Crowds Across Nation (Updated),right,0.5180333087494213,0.0,0.0,0.0,politics,right,1.0,0.5180333087494213,0.0,0.0,1.0,2015,2015-03,2015Q1
Washington Post,2015-03-20,Global Democracy in Retreat as Authoritarianism Rises in Latest Development,right,0.4939582325368329,0.2023,0.2023,0.2023,other,right,1.0,0.4939582325368329,0.167,0.0,0.833,2015,2015-03,2015Q1
New York Times,2015-03-20,A Reckoning on Race Forces America to Confront Its Past,left,0.5775712223953463,-0.1779,0.1779,0.1779,social_issues,left,-1.0,0.5775712223953463,0.0,0.159,0.841,2015,2015-03,2015Q1
CNN,2015-03-20,Infrastructure Bill Passes After Months of Negotiations as Tensions Rise,left,0.5987046524147616,-0.4019,0.4019,0.4019,other,left,-1.0,0.5987046524147616,0.0,0.231,0.769,2015,2015-03,2015Q1
New York Times,2015-03-20,A Reckoning on Race Forces America to Confront Its Past as Tensions Rise,left,0.6022580175134082,-0.5267,0.5267,0.5267,social_issues,left,-1.0,0.6022580175134082,0.0,0.286,0.714,2015,2015-03,2015Q1
New York Times,2015-03-21,Immigration Reform Remains Elusive Despite Bipartisan Support as Tensions Rise,left,0.6132376994734005,-0.607,0.607,0.607,politics,left,-1.0,0.6132376994734005,0.0,0.383,0.617,2015,2015-03,2015Q1
Washington Post,2015-03-21,The Quiet Crisis: How Climate Change Is Reshaping American Cities (Updated),left,0.48141288356357465,-0.6249,0.6249,0.6249,climate,left,-1.0,0.48141288356357465,0.0,0.291,0.709,2015,2015-03,2015Q1
Fox News,2015-03-21,Americans Fed Up With Rising Gas Prices Under Biden,left,0.382546840360466,0.0,0.0,0.0,politics,left,-1.0,0.382546840360466,0.0,0.0,1.0,2015,2015-03,2015Q1
Fox News,2015-03-22,Small Business Owners Crushed by New Regulations,right,0.3857856400708445,-0.4215,0.4215,0.4215,economy,right,1.0,0.3857856400708445,0.0,0.318,0.682,2015,2015-03,2015Q1
Washington Post,2015-03-22,Fact Checker: Political Claims on Immigration Miss the Mark in Latest Development,left,0.4583293896262421,-0.1531,0.1531,0.1531,politics,left,-1.0,0.4583293896262421,0.0,0.127,0.873,2015,2015-03,2015Q1
Fox News,2015-03-22,Hunter Biden Laptop Scandal Media Coverup Exposed in Latest Development,right,0.776264966661799,-0.4939,0.4939,0.4939,politics,right,1.0,0.776264966661799,0.0,0.344,0.656,2015,2015-03,2015Q1
Washington Post,2015-03-22,Education Gaps Widen as Pandemic Disrupts Learning,left,0.4627316734990118,0.0,0.0,0.0,healthcare,left,-1.0,0.4627316734990118,0.0,0.0,1.0,2015,2015-03,2015Q1
New York Times,2015-03-22,Inside the Growing Movement to Restrict Abortion Access as Tensions Rise,left,0.7062055377182515,-0.5574,0.5574,0.5574,social_issues,left,-1.0,0.7062055377182515,0.113,0.353,0.533,2015,2015-03,2015Q1
Washington Post,2015-03-23,Education Gaps Widen as Pandemic Disrupts Learning,left,0.4627316734990118,0.0,0.0,0.0,healthcare,left,-1.0,0.4627316734990118,0.0,0.0,1.0,2015,2015-03,2015Q1
Fox News,2015-03-23,Law Enforcement Officers Demoralized by Defund Movement,left,0.4819585115429098,-0.3818,0.3818,0.3818,foreign_policy,left,-1.0,0.4819585115429098,0.0,0.302,0.698,2015,2015-03,2015Q1
CNN,2015-03-24,Breaking: Climate Change Report Warns of Dire Consequences Sources Say,left,0.6134272134015051,-0.5267,0.5267,0.5267,climate,left,-1.0,0.6134272134015051,0.0,0.355,0.645,2015,2015-03,2015Q1
CNN,2015-03-24,Tech Giants Face Antitrust Scrutiny - Report,center,0.5934018670067372,0.0,0.0,0.0,technology,center,0.0,0.5934018670067372,0.0,0.0,1.0,2015,2015-03,2015Q1
CNN,2015-03-24,January 6 Committee Releases Damning Findings,right,0.5370440735036633,-0.34,0.34,0.34,other,right,1.0,0.5370440735036633,0.0,0.324,0.676,2015,2015-03,2015Q1
CNN,2015-03-24,Tech Giants Face Antitrust Scrutiny,center,0.5249018058071586,0.0,0.0,0.0,technology,center,0.0,0.5249018058071586,0.0,0.0,1.0,2015,2015-03,2015Q1
Washington Post,2015-03-24,Education Gaps Widen as Pandemic Disrupts Learning,left,0.4627316734990118,0.0,0.0,0.0,healthcare,left,-1.0,0.4627316734990118,0.0,0.0,1.0,2015,2015-03,2015Q1
CNN,2015-03-24,Supreme Court Rules on Landmark Voting Rights Case,left,0.578250563785024,0.5994,0.5994,0.5994,social_issues,left,-1.0,0.578250563785024,0.45,0.0,0.55,2015,2015-03,2015Q1
Washington Post,2015-03-24,Tech Regulation Stalls as Industry Influence Grows in Latest Development,right,0.4955704930278388,0.0,0.0,0.0,technology,right,1.0,0.4955704930278388,0.0,0.0,1.0,2015,2015-03,2015Q1
New York Times,2015-03-24,The Pandemic Changed How Americans Work. There's No Going Back. in Latest Development,left,0.6542619667342624,-0.296,0.296,0.296,healthcare,left,-1.0,0.6542619667342624,0.0,0.155,0.845,2015,2015-03,2015Q1
CNN,2015-03-24,Tech Giants Face Antitrust Scrutiny,center,0.5249018058071586,0.0,0.0,0.0,technology,center,0.0,0.5249018058071586,0.0,0.0,1.0,2015,2015-03,2015Q1
Washington Post,2015-03-25,Inside the Battle for the Future of the Republican Party Sources Say,left,0.8498331950350809,0.0258,0.0258,0.0258,politics,left,-1.0,0.8498331950350809,0.176,0.17,0.654,2015,2015-03,2015Q1
CNN,2015-03-25,January 6 Committee Releases Damning Findings,right,0.5370440735036633,-0.34,0.34,0.34,other,right,1.0,0.5370440735036633,0.0,0.324,0.676,2015,2015-03,2015Q1
Fox News,2015-03-25,Second Amendment Rights Under Attack by Democrats in Latest Development,right,0.5449930390819179,-0.4767,0.4767,0.4767,politics,right,1.0,0.5449930390819179,0.0,0.256,0.744,2015,2015-03,2015Q1
CNN,2015-03-25,Deadly Shooting Highlights Gun Control Debate Amid Growing Concerns,left,0.580932387851266,-0.1779,0.1779,0.1779,crime,left,-1.0,0.580932387851266,0.153,0.216,0.631,2015,2015-03,2015Q1
New York Times,2015-03-25,Climate Scientists Issue Urgent Warning on Tipping Points,left,0.4233758982593848,-0.1531,0.1531,0.1531,climate,left,-1.0,0.4233758982593848,0.176,0.235,0.588,2015,2015-03,2015Q1
CNN,2015-03-25,Experts Warn of Growing Inequality in America (Updated),left,0.7654666785527311,0.0772,0.0772,0.0772,foreign_policy,left,-1.0,0.7654666785527311,0.187,0.154,0.659,2015,2015-03,2015Q1
Washington Post,2015-03-26,Analysis: Democracy Faces Its Greatest Test in Decades - Report,left,0.4801159133481898,0.6369,0.6369,0.6369,other,left,-1.0,0.4801159133481898,0.318,0.0,0.682,2015,2015-03,2015Q1
Washington Post,2015-03-26,The Filibuster Debate: What's Really at Stake in Latest Development,left,0.48200301773748405,0.0,0.0,0.0,other,left,-1.0,0.48200301773748405,0.0,0.0,1.0,2015,2015-03,2015Q1
CNN,2015-03-26,Breaking: Climate Change Report Warns of Dire Consequences,left,0.3915719132555969,-0.5267,0.5267,0.5267,climate,left,-1.0,0.3915719132555969,0.0,0.423,0.577,2015,2015-03,2015Q1
Washington Post,2015-03-26,The Filibuster Debate: What's Really at Stake Amid Growing Concerns,left,0.5629973076032999,0.1779,0.1779,0.1779,other,left,-1.0,0.5629973076032999,0.159,0.0,0.841,2015,2015-03,2015Q1
Fox News,2015-03-26,Parents Fight Back Against Critical Race Theory in Schools,left,0.6043364759036093,-0.5994,0.5994,0.5994,education,left,-1.0,0.6043364759036093,0.0,0.412,0.588,2015,2015-03,2015Q1
CNN,2015-03-26,Gun Violence Epidemic Sparks Renewed Calls for Action (Updated),left,0.45053818623127645,-0.7579,0.7579,0.7579,crime,left,-1.0,0.45053818623127645,0.0,0.481,0.519,2015,2015-03,2015Q1
CNN,2015-03-26,Biden Administration Announces New Climate Targets Amid Growing Concerns,left,0.5384975107373683,0.1779,0.1779,0.1779,politics,left,-1.0,0.5384975107373683,0.175,0.0,0.825,2015,2015-03,2015Q1
New York Times,2015-03-27,The Widening Political Divide: Can America Find Common Ground?,right,0.36310990848021085,0.0,0.0,0.0,politics,right,1.0,0.36310990848021085,0.0,0.0,1.0,2015,2015-03,2015Q1
Fox News,2015-03-27,Illegal Immigration Costs Taxpayers Billions,right,0.655824989803309,-0.5574,0.5574,0.5574,economy,right,1.0,0.655824989803309,0.0,0.474,0.526,2015,2015-03,2015Q1
CNN,2015-03-27,January 6 Committee Releases Damning Findings (Updated),right,0.5727210273233377,-0.34,0.34,0.34,other,right,1.0,0.5727210273233377,0.0,0.286,0.714,2015,2015-03,2015Q1
CNN,2015-03-27,Supreme Court Rules on Landmark Voting Rights Case,left,0.578250563785024,0.5994,0.5994,0.5994,social_issues,left,-1.0,0.578250563785024,0.45,0.0,0.55,2015,2015-03,2015Q1
New York Times,2015-03-27,Immigration Reform Remains Elusive Despite Bipartisan Support Sources Say,left,0.7657601022442452,-0.3089,0.3089,0.3089,politics,left,-1.0,0.7657601022442452,0.0,0.22,0.78,2015,2015-03,2015Q1
CNN,2015-03-27,January 6 Committee Releases Damning Findings | Opinion,right,0.5780360352850813,-0.34,0.34,0.34,other,right,1.0,0.5780360352850813,0.0,0.255,0.745,2015,2015-03,2015Q1
Fox News,2015-03-27,Religious Liberty Under Siege From Radical Left,right,0.6159541109268099,0.5267,0.5267,0.5267,foreign_policy,right,1.0,0.6159541109268099,0.362,0.0,0.638,2015,2015-03,2015Q1
CNN,2015-03-28,Breaking: Climate Change Report Warns of Dire Consequences in Latest Development,right,0.43389451585880806,-0.5267,0.5267,0.5267,climate,right,1.0,0.43389451585880806,0.0,0.328,0.672,2015,2015-03,2015Q1
Washington Post,2015-03-28,The Filibuster Debate: What's Really at Stake Sources Say,left,0.8185097738600258,0.0,0.0,0.0,other,left,-1.0,0.8185097738600258,0.0,0.0,1.0,2015,2015-03,2015Q1
CNN,2015-03-28,Economy Shows Signs of Recovery Amid Pandemic in Latest Development,left,0.4481313748717632,0.0,0.0,0.0,economy,left,-1.0,0.4481313748717632,0.0,0.0,1.0,2015,2015-03,2015Q1
Washington Post,2015-04-01,The Filibuster Debate: What's Really at Stake | Opinion,left,0.5929503201876127,0.0,0.0,0.0,other,left,-1.0,0.5929503201876127,0.0,0.0,1.0,2015,2015-04,2015Q2
New York Times,2015-04-01,A Reckoning on Race Forces America to Confront Its Past | Opinion,left,0.5718891486076667,-0.1779,0.1779,0.1779,social_issues,left,-1.0,0.5718891486076667,0.0,0.134,0.866,2015,2015-04,2015Q2
Fox News,2015-04-01,Energy Independence Sacrificed for Green New Deal in Latest Development,right,0.4665169640663819,0.2732,0.2732,0.2732,climate,right,1.0,0.4665169640663819,0.189,0.0,0.811,2015,2015-04,2015Q2
New York Times,2015-04-01,Inside the Growing Movement to Restrict Abortion Access Amid Growing Concerns,left,0.6711982000501352,-0.0516,0.0516,0.0516,social_issues,left,-1.0,0.6711982000501352,0.243,0.186,0.571,2015,2015-04,2015Q2
New York Times,2015-04-01,The Struggle for Affordable Housing in America's Cities Amid Growing Concerns,left,0.45731412160594664,-0.1531,0.1531,0.1531,other,left,-1.0,0.45731412160594664,0.131,0.177,0.692,2015,2015-04,2015Q2
Washington Post,2015-04-01,Education Gaps Widen as Pandemic Disrupts Learning (Updated),left,0.4547665867205406,0.0,0.0,0.0,healthcare,left,-1.0,0.4547665867205406,0.0,0.0,1.0,2015,2015-04,2015Q2
Fox News,2015-04-02,Second Amendment Rights Under Attack by Democrats Amid Growing Concerns,right,0.45423401309791817,-0.34,0.34,0.34,politics,right,1.0,0.45423401309791817,0.133,0.242,0.625,2015,2015-04,2015Q2
CNN,2015-04-02,Tech Giants Face Antitrust Scrutiny,center,0.5249018058071586,0.0,0.0,0.0,technology,center,0.0,0.5249018058071586,0.0,0.0,1.0,2015,2015-04,2015Q2
Washington Post,2015-04-02,Pentagon Papers for a New Era: Government Secrecy Examined,left,0.5116993562128639,0.0,0.0,0.0,other,left,-1.0,0.5116993562128639,0.0,0.0,1.0,2015,2015-04,2015Q2
New York Times,2015-04-02,Mental Health Crisis Among Young Americans Deepens,left,0.5200033468111313,-0.6249,0.6249,0.6249,healthcare,left,-1.0,0.5200033468111313,0.0,0.406,0.594,2015,2015-04,2015Q2
New York Times,2015-04-03,The Pandemic Changed How Americans Work. There's No Going Back. as Tensions Rise,left,0.7359440279216684,-0.5994,0.5994,0.5994,healthcare,left,-1.0,0.7359440279216684,0.0,0.308,0.692,2015,2015-04,2015Q2
New York Times,2015-04-03,How Social Media Algorithms Fuel Political Polarization,right,0.5561428724897058,0.0,0.0,0.0,politics,right,1.0,0.5561428724897058,0.0,0.0,1.0,2015,2015-04,2015Q2
Fox News,2015-04-03,Religious Liberty Under Siege From Radical Left Amid Growing Concerns,right,0.6036378711896139,0.6249,0.6249,0.6249,foreign_policy,right,1.0,0.6036378711896139,0.389,0.0,0.611,2015,2015-04,2015Q2
Fox News,2015-04-03,Parents Fight Back Against Critical Race Theory in Schools,left,0.6043364759036093,-0.5994,0.5994,0.5994,education,left,-1.0,0.6043364759036093,0.0,0.412,0.588,2015,2015-04,2015Q2
CNN,2015-04-03,January 6 Committee Releases Damning Findings | Opinion,right,0.5780360352850813,-0.34,0.34,0.34,other,right,1.0,0.5780360352850813,0.0,0.255,0.745,2015,2015-04,2015Q2
Fox News,2015-04-03,Democrats' Spending Spree Will Bankrupt America | Opinion,right,0.45392772250463775,-0.5574,0.5574,0.5574,politics,right,1.0,0.45392772250463775,0.0,0.34,0.66,2015,2015-04,2015Q2
New York Times,2015-04-03,Immigration Reform Remains Elusive Despite Bipartisan Support,left,0.5796443016137922,-0.3089,0.3089,0.3089,politics,left,-1.0,0.5796443016137922,0.0,0.273,0.727,2015,2015-04,2015Q2
Fox News,2015-04-03,Hunter Biden Laptop Scandal Media Coverup Exposed | Opinion,right,0.7648040418430664,-0.4939,0.4939,0.4939,politics,right,1.0,0.7648040418430664,0.0,0.375,0.625,2015,2015-04,2015Q2
Fox News,2015-04-04,Small Business Owners Crushed by New Regulations as Tensions Rise,left,0.4128731654840526,-0.6705,0.6705,0.6705,economy,left,-1.0,0.4128731654840526,0.0,0.407,0.593,2015,2015-04,2015Q2
CNN,2015-04-04,Healthcare Reform Battle Heats Up in Congress Amid Growing Concerns,left,0.563455974364727,-0.2263,0.2263,0.2263,politics,left,-1.0,0.563455974364727,0.138,0.211,0.65,2015,2015-04,2015Q2
Washington Post,2015-04-04,Education Gaps Widen as Pandemic Disrupts Learning | Opinion,left,0.48903282767210826,0.0,0.0,0.0,healthcare,left,-1.0,0.48903282767210826,0.0,0.0,1.0,2015,2015-04,2015Q2
CNN,2015-04-04,Healthcare Reform Battle Heats Up in Congress | Opinion,left,0.5973241510460048,-0.3818,0.3818,0.3818,politics,left,-1.0,0.5973241510460048,0.0,0.245,0.755,2015,2015-04,2015Q2
Washington Post,2015-04-04,Pentagon Papers for a New Era: Government Secrecy Examined,left,0.5116993562128639,0.0,0.0,0.0,other,left,-1.0,0.5116993562128639,0.0,0.0,1.0,2015,2015-04,2015Q2
New York Times,2015-04-04,How Misinformation Became a Public Health Crisis (Updated),left,0.48051833904042507,-0.7506,0.7506,0.7506,healthcare,left,-1.0,0.48051833904042507,0.0,0.516,0.484,2015,2015-04,2015Q2
CNN,2015-04-04,Breaking: Climate Change Report Warns of Dire Consequences as Tensions Rise,left,0.4285272488964897,-0.7269,0.7269,0.7269,climate,left,-1.0,0.4285272488964897,0.0,0.47,0.53,2015,2015-04,2015Q2
